min_confidence,precision_A,recall_A,distance_pc_A,precision_Z,recall_Z,distance_pc_Z,precision_G,recall_G,distance_pc_G,precision_D,recall_D,distance_pc_D
50,90.74663402692778,41.34508141869284,0.4572827417380661,85.90858416945373,44.22635445362718,1.788628762541806,86.59867172675521,41.58788016858412,1.467979127134725,84.5578231292517,43.0451344799723,2.059183673469388
51,90.97633136094674,41.100467810202716,0.4344181459566075,89.30146205616151,43.318698637847575,0.8148062195404966,62.84501061571125,3.2282691678481843,7.2760084925690025,87.60643330179754,41.99546485260771,1.3207190160832545
52,90.97633136094674,41.100467810202716,0.4344181459566075,89.30146205616151,43.318698637847575,0.8148062195404966,64.06926406926407,3.2251035083896276,7.038961038961039,87.62130177514793,41.96803083550618,1.317869822485207
53,90.97633136094674,41.100467810202716,0.4344181459566075,89.39781446175307,43.26057605760576,0.786096256684492,66.2192393736018,3.2198411835091916,6.409395973154362,87.84713980536435,41.9044384057971,1.2482791360075955
54,90.97633136094674,41.100467810202716,0.4344181459566075,89.4186046511628,43.25570930363371,0.7844186046511628,67.7345537757437,3.216342497011844,6.231121281464531,87.99334284355682,41.87125240411812,1.216833095577746
55,90.97633136094674,41.100467810202716,0.4344181459566075,89.4186046511628,43.25570930363371,0.7844186046511628,68.51851851851852,3.214596003475239,5.891203703703703,88.16102906145784,41.83338984966655,1.1765126250595521
56,90.9987669543773,41.0958904109589,0.4332922318125771,89.54354913833255,43.2265317594154,0.7566371681415929,68.85245901639344,3.1918358484420803,5.9063231850117095,88.41376015289059,41.776724235241,1.1012900143334925
57,90.9987669543773,41.0958904109589,0.4332922318125771,89.8083216456288,43.12977099236641,0.7122487143525011,70.36144578313252,3.166684741351263,5.542168674698795,88.54066985645933,41.74844895657078,1.0813397129186604
58,90.9987669543773,41.0958904109589,0.4332922318125771,89.85032740879326,43.12008978675645,0.6950420954162769,70.8029197080292,3.1548135299219426,5.462287104622871,88.71045062320229,41.7108080694241,1.0539309683604985
59,90.9987669543773,41.0958904109589,0.4332922318125771,89.91340978235431,43.10557612476158,0.6805523051720103,72.20843672456576,3.1520797227036392,5.042183622828784,88.73171901222729,41.7061077304485,1.0503476384560058
60,90.9987669543773,41.0958904109589,0.4332922318125771,89.91340978235431,43.10557612476158,0.6805523051720103,73.48484848484848,3.149691525056824,4.6893939393939394,88.75029983209403,41.690140845070424,1.046294075317822
61,90.9987669543773,41.0958904109589,0.4332922318125771,90.05395261552897,43.03811659192825,0.6671358198451794,73.9795918367347,3.1378489504436264,4.627551020408164,89.0279114533205,41.62916291629163,0.9966313763233878
62,90.9987669543773,41.0958904109589,0.4332922318125771,90.11505048133365,43.012439762411745,0.6454566799718243,74.93540051679587,3.136152265599654,4.421188630490956,89.04933814681108,41.624479694003824,0.9944645006016847
63,90.9987669543773,41.0958904109589,0.4332922318125771,90.17857142857143,42.99798341922474,0.6261748120300752,75.52083333333334,3.135135135135135,4.213541666666667,89.1566265060241,41.60107937935687,0.9489156626506025
64,90.9987669543773,41.0958904109589,0.4332922318125771,90.21866917470021,42.97715053763441,0.6242652245473783,75.91623036649214,3.1344574146130566,4.12565445026178,89.14878225223053,41.567348774454686,0.9496021220159151
65,90.9987669543773,41.0958904109589,0.4332922318125771,90.42904290429043,42.917878720071606,0.5862800565770863,76.51715039577837,3.1334413830361965,3.955145118733509,89.14878225223053,41.567348774454686,0.9496021220159151
66,90.9987669543773,41.0958904109589,0.4332922318125771,90.42904290429043,42.917878720071606,0.5862800565770863,76.51715039577837,3.1334413830361965,3.955145118733509,89.1891891891892,41.54676258992806,0.9413610038610039
67,90.98442993470618,40.322760155815246,0.41913611250627825,90.51439358187825,42.89868038470141,0.5639452571967909,42.10526315789473,0.4306168586500162,10.842105263157896,89.74234321827905,41.38085631024434,0.7664073894020418
68,90.98442993470618,40.322760155815246,0.41913611250627825,90.51439358187825,42.89868038470141,0.5639452571967909,42.10526315789473,0.4306168586500162,10.842105263157896,89.74234321827905,41.38085631024434,0.7664073894020418
69,90.98442993470618,40.322760155815246,0.41913611250627825,90.51439358187825,42.89868038470141,0.5639452571967909,42.10526315789473,0.4306168586500162,10.842105263157896,89.76416241186482,41.37621876050655,0.7592997811816192
70,90.98442993470618,40.322760155815246,0.41913611250627825,90.51439358187825,42.89868038470141,0.5639452571967909,43.956043956043956,0.4304315075863553,10.626373626373626,89.76416241186482,41.37621876050655,0.7592997811816192
71,90.98442993470618,40.322760155815246,0.41913611250627825,90.64272211720227,42.869915064818954,0.5198487712665406,44.44444444444444,0.4303851947493006,10.5,89.76167315175097,41.36501176734282,0.7594844357976653
72,90.98442993470618,40.322760155815246,0.41913611250627825,90.64272211720227,42.869915064818954,0.5198487712665406,44.44444444444444,0.4303851947493006,10.5,89.91473812423874,41.33258678611422,0.7266747868453106
73,90.98442993470618,40.322760155815246,0.41913611250627825,90.64272211720227,42.869915064818954,0.5198487712665406,44.31818181818182,0.4195804195804196,10.352272727272727,89.93419449183524,41.31676184077931,0.7199610041433098
74,90.98442993470618,40.322760155815246,0.41913611250627825,90.64272211720227,42.869915064818954,0.5198487712665406,44.70588235294118,0.4087340002151231,10.529411764705882,89.93419449183524,41.31676184077931,0.7199610041433098
75,90.98442993470618,40.322760155815246,0.41913611250627825,90.64272211720227,42.869915064818954,0.5198487712665406,45.78313253012048,0.40864609097752447,10.120481927710843,89.93419449183524,41.31676184077931,0.7199610041433098
76,90.98442993470618,40.322760155815246,0.41913611250627825,90.69381955955483,42.78851524969277,0.5017759886336728,46.913580246913575,0.40855821954628535,9.901234567901234,90.17595307917888,41.26593603220756,0.6695992179863147
77,90.98442993470618,40.322760155815246,0.41913611250627825,90.69381955955483,42.78851524969277,0.5017759886336728,46.913580246913575,0.40855821954628535,9.901234567901234,90.17595307917888,41.26593603220756,0.6695992179863147
78,90.98442993470618,40.322760155815246,0.41913611250627825,90.69381955955483,42.78851524969277,0.5017759886336728,47.5,0.40851429800043,9.775,90.17355169885114,41.254752851711025,0.6697628941579076
79,90.98442993470618,40.322760155815246,0.41913611250627825,90.69381955955483,42.78851524969277,0.5017759886336728,47.5,0.40851429800043,9.775,90.19559902200488,41.25013977412502,0.669682151589242
80,90.98442993470618,40.322760155815246,0.41913611250627825,90.69381955955483,42.78851524969277,0.5017759886336728,48.10126582278481,0.40847038589702245,9.620253164556962,90.19559902200488,41.25013977412502,0.669682151589242
